,deleted_responses,condition,article,consent,consent2,have_facebook_q,believe_climate_change_q,believer_doubter,post_trustworthy,post_accurate,like_post,share_post,recognize_source,burning_oil_co2,nuclear_power_co2,co2_methane,global_co2_increase,climate_change_human_activities,last_century_global_increase,today_concentration_already_occured,scientists_expect_warming_increase_melting,scientists_expect_increase_extreme_events,scientists_expect_increase_water_evap,scientists_expect_climate_change_evenly,feelings_toward_fb,gender,gender_text,age,education,politics,politics_text,conservative,post_type,post_trust
1935,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,4.1,3.6,-1.3,6.0,No,Do not know,Do not know,Do not know,Do not know,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,1.6,Female,,22.0,Some college but no degree,Democrat,,Somewhat liberal,Fake,3.8499999999999996
1936,,Enhanced Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,6.9,7.1,2.0,6.0,No,Correct,Correct,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Correct,0.2,Female,,33.0,High school graduate (high school diploma or equivalent including GED),No party/not interested in politics,,Not sure/not interested in politics,Fake,7.0
1938,,Enhanced Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,3.8,3.8,0.0,6.0,No,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,-2.0,Male,,46.0,Some college but no degree,Democrat,,Moderate,Fake,3.8
1939,,Enhanced Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,1.0,1.0,-5.0,6.0,No,Correct,Do not know,Incorrect,Incorrect,Incorrect,Incorrect,Do not know,Incorrect,Incorrect,Incorrect,Incorrect,-2.1,Male,,47.0,Graduate or professional degree,Republican,,Very conservative,Fake,1.0
1940,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,2.9,3.0,-3.5,6.0,No,Do not know,Incorrect,Incorrect,Do not know,Do not know,Do not know,Do not know,Correct,Correct,Do not know,Incorrect,-3.9,Female,,67.0,Bachelor's degree in college (4-year),Independent,,Somewhat conservative,Fake,2.95
1941,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.0,1.0,-2.0,6.0,No,Correct,Correct,Incorrect,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Do not know,4.1,Female,,24.0,Graduate or professional degree,Democrat,,Somewhat liberal,Fake,1.0
1942,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,3.1,3.1,-1.5,6.0,No,Do not know,Do not know,Incorrect,Do not know,Do not know,Do not know,Do not know,Correct,Correct,Correct,Incorrect,0.0,Female,,40.0,High school graduate (high school diploma or equivalent including GED),Republican,,Moderate,Fake,3.1
1944,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,1.0,1.0,0.0,6.0,No,Do not know,Do not know,Do not know,Do not know,Correct,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,0.2,Male,,34.0,High school graduate (high school diploma or equivalent including GED),Other,Black,Not sure/not interested in politics,Fake,1.0
1945,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.9,2.0,0.0,6.0,No,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,4.9,Male,,54.0,High school graduate (high school diploma or equivalent including GED),Independent,,Somewhat conservative,Fake,1.95
1947,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,4.5,6.8,0.0,6.0,No,Do not know,Incorrect,Do not know,Do not know,Correct,Do not know,Do not know,Correct,Correct,Do not know,Do not know,0.0,Male,,34.0,Less than high school degree,No party/not interested in politics,,Not sure/not interested in politics,Fake,5.65
1953,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,5.7,5.6,0.0,6.0,No,Correct,Correct,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,0.0,Male,,33.0,High school graduate (high school diploma or equivalent including GED),No party/not interested in politics,,Not sure/not interested in politics,Fake,5.65
1955,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,7.5,7.4,0.0,6.0,No,Do not know,Do not know,Do not know,Do not know,Incorrect,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,4.3,Female,,56.0,Less than high school degree,No party/not interested in politics,,Not sure/not interested in politics,Fake,7.45
1956,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,2.4,2.2,0.0,6.0,No,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Correct,Correct,Do not know,Do not know,0.5,Female,,53.0,Some college but no degree,Democrat,,Moderate,Fake,2.3
1961,,Enhanced Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,3.8,2.9,0.0,6.0,No,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Incorrect,-4.5,Female,,66.0,High school graduate (high school diploma or equivalent including GED),Independent,,Somewhat conservative,Fake,3.3499999999999996
1962,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,4.2,5.0,0.0,6.0,No,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Correct,Do not know,Correct,0.0,Male,,29.0,Some college but no degree,Independent,,Moderate,Fake,4.6
1963,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,4.3,5.4,0.0,6.0,No,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Incorrect,Do not know,Do not know,Do not know,Do not know,-1.0,Male,,39.0,High school graduate (high school diploma or equivalent including GED),Republican,,Very conservative,Fake,4.85
1966,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,4.9,7.7,0.0,6.0,No,Correct,Incorrect,Do not know,Correct,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,-1.2,Male,,31.0,Some college but no degree,No party/not interested in politics,,Moderate,Fake,6.300000000000001
1967,,Enhanced Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,5.0,5.3,0.0,6.0,No,Incorrect,Do not know,Incorrect,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Correct,0.1,Male,,66.0,High school graduate (high school diploma or equivalent including GED),No party/not interested in politics,,Moderate,Fake,5.15
1968,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,5.1,5.4,0.0,6.0,No,Correct,Correct,Correct,Correct,Do not know,Correct,Correct,Correct,Correct,Incorrect,Incorrect,-5.0,Male,,42.0,Associate degree in college (2-year),Other,Open Self Thinker,Somewhat conservative,Fake,5.25
1970,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,6.1,6.1,0.0,6.0,No,Correct,Do not know,Incorrect,Correct,Incorrect,Do not know,Do not know,Incorrect,Correct,Do not know,Do not know,-3.1,Male,,69.0,High school graduate (high school diploma or equivalent including GED),Republican,,Very conservative,Fake,6.1
1974,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,5.2,5.1,2.3,6.0,No,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,0.0,Female,,24.0,High school graduate (high school diploma or equivalent including GED),No party/not interested in politics,,Not sure/not interested in politics,Fake,5.15
1975,,Enhanced Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,8.3,8.4,4.1,6.0,No,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Correct,Correct,Do not know,Do not know,2.4,Female,,54.0,Some college but no degree,Independent,,Moderate,Fake,8.350000000000001
1976,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,3.8,3.1,-1.2,6.0,No,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Do not know,0.0,Female,,53.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Not sure/not interested in politics,Fake,3.45
1977,,Enhanced Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,5.1,4.3,0.1,6.0,No,Correct,Do not know,Correct,Correct,Incorrect,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,2.1,Male,,43.0,Some college but no degree,Independent,,Somewhat conservative,Fake,4.699999999999999
1978,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,4.9,5.1,0.0,6.0,No,Do not know,Do not know,Do not know,Do not know,Incorrect,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,0.0,Female,,37.0,Associate degree in college (2-year),Democrat,,Moderate,Fake,5.0
1980,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,6.1,6.5,2.2,6.0,No,Correct,Do not know,Do not know,Correct,Correct,Do not know,Do not know,Correct,Correct,Incorrect,Do not know,0.0,Male,,49.0,Some college but no degree,Independent,,Moderate,Fake,6.3
1981,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,6.2,5.6,2.6,6.0,No,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Correct,Do not know,Incorrect,Do not know,5.0,Male,,38.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Not sure/not interested in politics,Fake,5.9
1982,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,4.4,1.9,2.6,6.0,No,Do not know,Correct,Do not know,Correct,Incorrect,Do not know,Do not know,Correct,Correct,Do not know,Incorrect,0.3,Female,,41.0,Less than high school degree,No party/not interested in politics,,Not sure/not interested in politics,Fake,3.1500000000000004
1983,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,7.4,7.6,5.0,6.0,No,Correct,Correct,Do not know,Correct,Correct,Do not know,Correct,Do not know,Correct,Correct,Incorrect,2.2,Male,,21.0,High school graduate (high school diploma or equivalent including GED),No party/not interested in politics,,Not sure/not interested in politics,Fake,7.5
1984,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,4.1,6.2,0.1,6.0,No,Do not know,Do not know,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,-3.0,Male,,42.0,High school graduate (high school diploma or equivalent including GED),Other,Conservative,Very conservative,Fake,5.15
1986,,Enhanced Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,6.2,6.0,1.6,6.0,No,Correct,Do not know,Do not know,Correct,Correct,Correct,Do not know,Correct,Correct,Correct,Do not know,-0.8,Male,,38.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Somewhat conservative,Fake,6.1
1987,,Enhanced Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,4.4,3.3,0.0,6.0,No,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Correct,Do not know,Do not know,Do not know,1.9,Female,,66.0,High school graduate (high school diploma or equivalent including GED),Independent,,Not sure/not interested in politics,Fake,3.85
1989,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,3.6,5.5,0.1,6.1,No,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,2.5,Male,,52.0,High school graduate (high school diploma or equivalent including GED),Independent,,Moderate,Fake,4.55
1990,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,7.4,6.3,-4.4,6.1,No,Do not know,Do not know,Do not know,Do not know,Correct,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,-0.9,Female,,70.0,Less than high school degree,No party/not interested in politics,,Not sure/not interested in politics,Fake,6.85
1991,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,10.0,10.0,0.1,6.1,No,Correct,Incorrect,Incorrect,Do not know,Incorrect,Incorrect,Do not know,Do not know,Incorrect,Incorrect,Incorrect,0.1,Male,,65.0,Some college but no degree,Independent,,Somewhat conservative,Fake,10.0
1994,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,4.8,6.4,1.7,6.2,No,Correct,Do not know,Correct,Do not know,Do not know,Do not know,Do not know,Correct,Do not know,Do not know,Do not know,1.3,Male,,57.0,Bachelor's degree in college (4-year),Republican,,Somewhat conservative,Fake,5.6
1995,,Enhanced Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.2,2.0,-5.0,6.3,No,Incorrect,Do not know,Incorrect,Do not know,Correct,Do not know,Do not know,Correct,Correct,Correct,Correct,-2.3,Male,,27.0,Some college but no degree,Democrat,,Moderate,Fake,1.6
1996,,Enhanced Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,5.9,6.1,0.3,6.3,No,Correct,Correct,Incorrect,Do not know,Correct,Do not know,Do not know,Correct,Correct,Correct,Correct,2.5,Female,,37.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Moderate,Fake,6.0
1997,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,5.3,4.9,-2.0,6.3,No,Do not know,Do not know,Correct,Correct,Correct,Correct,Correct,Do not know,Correct,Correct,Correct,-1.0,Male,,18.0,High school graduate (high school diploma or equivalent including GED),No party/not interested in politics,,Not sure/not interested in politics,Fake,5.1
1998,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,6.2,6.1,-0.4,6.4,No,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Do not know,Do not know,1.5,Female,,25.0,Bachelor's degree in college (4-year),Independent,,Somewhat conservative,Fake,6.15
1999,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,9.0,8.2,2.6,6.4,No,Correct,Correct,Do not know,Correct,Do not know,Correct,Do not know,Correct,Correct,Correct,Incorrect,0.5,Female,,43.0,High school graduate (high school diploma or equivalent including GED),Independent,,Not sure/not interested in politics,Fake,8.6
2001,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,6.5,7.6,1.0,6.8,No,Do not know,Do not know,Incorrect,Do not know,Correct,Do not know,Do not know,Correct,Correct,Incorrect,Do not know,-4.3,Male,,71.0,Associate degree in college (2-year),Democrat,,Moderate,Fake,7.05
2002,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,6.9,7.1,1.3,6.9,No,Correct,Incorrect,Do not know,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Do not know,Incorrect,-2.0,Male,,58.0,Associate degree in college (2-year),Republican,,Very conservative,Fake,7.0
2003,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,5.0,6.1,1.2,8.2,No,Do not know,Do not know,Incorrect,Do not know,Incorrect,Incorrect,Do not know,Incorrect,Incorrect,Incorrect,Do not know,-2.0,Male,,58.0,Bachelor's degree in college (4-year),Republican,,Somewhat conservative,Fake,5.55
2005,,Enhanced Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,4.1,4.6,2.6,8.4,No,Do not know,Do not know,Incorrect,Incorrect,Incorrect,Do not know,Do not know,Correct,Do not know,Correct,Incorrect,0.0,Female,,33.0,Associate degree in college (2-year),Democrat,,Moderate,Fake,4.35
2006,,Enhanced Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,5.9,5.6,5.0,8.9,No,Correct,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,0.0,Female,,30.0,Some college but no degree,No party/not interested in politics,,Moderate,Fake,5.75
2008,,Enhanced Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,9.1,8.6,4.3,9.7,No,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,2.2,Female,,28.0,Some college but no degree,Independent,,Moderate,Fake,8.85
2009,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,1.0,1.0,5.0,10.4,No,Do not know,Do not know,Correct,Correct,Correct,Correct,Do not know,Correct,Correct,Incorrect,Correct,1.4,Female,,22.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Moderate,Fake,1.0
2010,,Control,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,8.2,8.2,5.0,11.0,No,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,-2.1,Male,,51.0,Bachelor's degree in college (4-year),Independent,,Somewhat conservative,Fake,8.2
2011,,Guidelines,Natural News,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.9,9.8,4.9,10.3,Yes,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Do not know,Do not know,Correct,5.0,Male,,35.0,Bachelor's degree in college (4-year),Republican,,Very conservative,Fake,9.850000000000001
2017,,Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.2,8.1,2.0,8.0,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,-1.9,Female,,47.0,Graduate or professional degree,Independent,,Somewhat liberal,Real,8.149999999999999
2018,,Control,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,10.0,10.0,1.1,11.0,Yes,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Correct,Correct,Incorrect,Incorrect,5.0,Male,,49.0,Some college but no degree,Democrat,,Moderate,Real,10.0
2019,,Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,5.0,11.0,Yes,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,-1.1,Male,,69.0,Bachelor's degree in college (4-year),Democrat,,Very liberal,Real,10.0
2021,,Control,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.8,9.3,0.1,9.3,Yes,Correct,Incorrect,Do not know,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Do not know,-0.8,Male,,56.0,Some college but no degree,Democrat,,Somewhat liberal,Real,9.05
2022,,Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,5.4,5.1,1.1,7.1,Yes,Do not know,Correct,Do not know,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,2.0,Female,,37.0,Associate degree in college (2-year),Democrat,,Very liberal,Real,5.25
2023,,Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,5.0,11.0,Yes,Do not know,Do not know,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Do not know,-5.0,Male,,34.0,Bachelor's degree in college (4-year),Democrat,,Very liberal,Real,10.0
2024,,Enhanced Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,7.3,7.9,5.0,11.0,Yes,Correct,Do not know,Correct,Correct,Incorrect,Do not know,Do not know,Correct,Correct,Correct,Correct,-5.0,Male,,55.0,Some college but no degree,Republican,,Very conservative,Real,7.6
2025,,Enhanced Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,0.2,9.4,Yes,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,5.0,Male,,31.0,Bachelor's degree in college (4-year),Democrat,,Very liberal,Real,10.0
2026,,Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,7.1,6.0,-3.2,8.8,Yes,Correct,Correct,Do not know,Correct,Correct,Do not know,Do not know,Correct,Do not know,Do not know,Correct,2.5,Male,,27.0,Some college but no degree,Independent,,Not sure/not interested in politics,Real,6.55
2027,,Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,5.2,5.1,-3.7,9.4,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,2.2,Female,,44.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Not sure/not interested in politics,Real,5.15
2028,,Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,5.0,11.0,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,5.0,Male,,26.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Moderate,Real,10.0
2031,,Enhanced Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.1,8.6,1.9,8.9,Yes,Correct,Correct,Do not know,Do not know,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.1,Female,,30.0,Some college but no degree,Republican,,Moderate,Real,8.35
2032,,Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.1,9.0,3.9,9.3,Yes,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,4.1,Male,,62.0,Some college but no degree,Independent,,Moderate,Real,8.55
2033,,Enhanced Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,7.0,8.0,5.0,9.7,Yes,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Correct,Incorrect,Correct,Incorrect,0.0,Female,,40.0,Bachelor's degree in college (4-year),Independent,,Moderate,Real,7.5
2034,,Enhanced Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,8.3,9.3,5.0,10.9,Yes,Do not know,Do not know,Correct,Correct,Do not know,Do not know,Do not know,Correct,Correct,Correct,Correct,4.9,Male,,72.0,Bachelor's degree in college (4-year),Republican,,Very conservative,Real,8.8
2036,,Control,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,6.0,7.1,4.4,10.7,Yes,Incorrect,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Correct,2.8,Female,,43.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Moderate,Real,6.55
2037,,Control,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.7,9.8,1.4,9.0,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,2.8,Male,,26.0,Less than high school degree,No party/not interested in politics,,Not sure/not interested in politics,Real,9.25
2038,,Enhanced Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,I am unsure,Doubter,8.8,9.0,3.6,10.5,Yes,Correct,Correct,Do not know,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,1.9,Female,,28.0,High school graduate (high school diploma or equivalent including GED),Independent,,Moderate,Real,8.9
2039,,Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.4,5.3,3.2,8.7,Yes,Correct,Correct,Correct,Correct,Incorrect,Correct,Do not know,Correct,Correct,Incorrect,Incorrect,2.8,Male,,65.0,High school graduate (high school diploma or equivalent including GED),Independent,,Somewhat conservative,Real,6.85
2042,,Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,5.0,11.0,Yes,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,3.5,Male,,38.0,Associate degree in college (2-year),Republican,,Somewhat conservative,Real,10.0
2043,,Control,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.3,9.2,4.2,10.2,Yes,Correct,Correct,Do not know,Correct,Correct,Correct,Incorrect,Correct,Correct,Do not know,Correct,2.2,Male,,35.0,Some college but no degree,Independent,,Somewhat liberal,Real,9.25
2044,,Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,10.0,10.0,5.0,7.8,Yes,Correct,Correct,Do not know,Correct,Correct,Do not know,Do not know,Correct,Do not know,Do not know,Incorrect,5.0,Female,,31.0,Some college but no degree,Democrat,,Very liberal,Real,10.0
2045,,Control,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,9.9,10.0,5.0,10.9,Yes,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,5.0,Male,,36.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Very liberal,Real,9.95
2046,,Enhanced Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,FALSE,Doubter,7.2,7.6,1.9,7.6,Yes,Correct,Correct,Incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,2.4,Female,,21.0,Some college but no degree,Democrat,,Not sure/not interested in politics,Real,7.4
2047,,Guidelines,USA Today,I live in the United States AND I am a legal adult in the state in which I live,I consent to participate in this research,Yes,TRUE,Believer,8.0,7.7,2.9,8.9,Yes,Correct,Correct,Correct,Do not know,Correct,Correct,Do not know,Correct,Correct,Correct,Correct,4.1,Female,,42.0,High school graduate (high school diploma or equivalent including GED),Democrat,,Moderate,Real,7.85
